iso3,pays,continent,dist_Commerciale_Fra (km),Population_2022,Bal_Imp-Exp_Poulet(kg/pers),PIB-Valeur par habitant(USD),Part de Volaille dans Alimentation(%),Part d'accès à Alimentation saine(%),Export Poulet Fr (kg/pers),Score Qualité Transport 2023 (1 à 5),Score Stabilité Politique 2023 (1 à 100)
QAT,Qatar,Asia,-4863.478,2892455,47.12144527745462,87974.166043,6.392372881355932,100.0,0.06724391563567972,3.8,84.3601913452148
ROU,Roumanie,Europe,-1723.568,19166772,0.49871412880583127,15295.103477,2.3463980126966604,44.1,0.1501290879862295,2.9,56.3981056213379
RUS,Russie,Asia,-3049.666,145579899,-1.1533331260244932,15481.798989,3.745801968731905,98.5,0.0,2.7,13.2701425552368
RWA,Rwanda,Africa,-6012.233,13651030,0.10615096443272046,966.307032,0.12181425485961123,24.299999999999997,0.0,2.9,49.7630348205566
SDN,Soudan,Africa,-4456.919,49383346,0.01801113274098519,783.574675,0.24093655589123866,66.3,0.0,2.3,1.89573454856873
SRB,Serbie,Europe,-1397.047,6791213,1.0111566225356206,8802.132109,1.2596899224806202,91.9,0.11025129089604464,2.4,44.5497627258301
SVK,Slovaquie,Europe,-1213.423,5473197,7.968574856706236,20431.61546,1.5595038551793496,82.3,0.10345324679524599,3.3,64.4549789428711
SVN,Slovénie,Europe,-908.9259,2115228,-2.213023844238068,28295.422508,3.1066580478345185,98.6,0.07994882821142685,3.6,75.8293838500977
SWE,Suède,Europe,-1550.527,10487338,2.3506937604185163,56040.302284,1.9170673076923077,96.4,0.03226080822416518,4.2,73.459716796875
TGO,Togo,Africa,-4380.54,9089738,2.1602239800531104,913.929411,0.7946841294298922,45.4,0.17744295820187556,2.3,14.2180099487305
THA,Thaïlande,Asia,-9470.205,71735329,-4.964944678792788,6908.802119,1.5093815149409313,83.6,0.00012490358830026416,3.7,36.0189590454102
TJK,Tadjikistan,Asia,-5313.692,10182222,0.08534679365663016,1054.189128,0.3811416184971098,71.4,0.0,2.5,27.488151550293
TTO,Trinité-et-Tobago,America,-7228.171,1495921,12.626214887016092,19629.381173,6.127914951989026,60.9,0.0,2.4,57.8199043273926
TUR,Turquie,Europe,-2413.325,87058473,-6.910707703315678,10629.308892,2.0942760942760943,93.9,0.0,3.4,13.7440757751465
URY,Uruguay,America,-10771.85,3390913,1.253373354019994,20793.282962,2.7390384033867554,63.9,0.0,2.7,81.9905242919922
USA,USA,America,-7227.043,341534045,-10.731473607557923,76100.715015,5.067229038854806,95.3,3.747796211648534e-06,3.9,47.3933639526367
UZB,Ouzbékistan,Asia,-5128.892,34938955,1.4422781104930014,2321.608639,0.6745110024449877,85.0,0.0,2.4,40.7582931518555
VNM,Viet Nam,Asia,-9869.467,99680655,2.652704479118842,4163.5143,1.9055989583333333,90.6,0.002097096974332683,3.2,45.0236968994141
ZAF,Afrique du Sud,Africa,-8750.608,62378410,3.926379976661797,6766.481054,5.405287939152481,38.8,0.0,3.6,20.8530807495117
