iso3,pays,continent,dist_Commerciale_Fra (km),Population_2022,Balance_IMP-EXP_Poulet_kg,PIB-Valeur par habitant(USD),Part de Volaille dans Alimentation(%),Part d'accès à Alimentation saine(%),Exportations Poulet Fr Qté (kg),Score Qualité Transport 2023 (1 à 5),Score Stabilité Politique 2023 (1 à 100)
NCL,Nouvelle-Calédonie,Pacific,16867.97,287123,8267980.0,33189.579925,4.790257104194858,,1151470.0,,
NER,Niger,Africa,3619.464,25311973,2063010.0000000002,588.168292,0.12276700874192323,13.700000000000003,643390.0,,8.53080558776855
NFK,Île Norfolk,Pacific,17659.58,,,,,,,,
NIU,Nioué,Pacific,16877.79,1821,62160.0,,,,0.0,,
NPL,Népal,Asia,7218.355,29715436,0.0,1290.010301,0.8669396110542477,78.7,0.0,,39.3364944458008
NRU,Nauru,Pacific,14655.37,11801,572400.0,11679.20902,5.921149348479786,,0.0,,82.9383850097656
NZL,Nouvelle-Zélande,Pacific,18890.98,5131734,-11163420.0,47412.068611,3.1137591356847794,,0.0,3.8,96.2085342407227
OMN,Oman,Asia,5485.059,4730226,76777970.0,25056.692532,2.39523498694517,,46770.0,3.2,65.8767776489258
PAK,Pakistan,Asia,6063.085,243700667,-374130.0,1385.759878,1.2992222677036431,41.3,0.0,,6.63507127761841
PSE,Palestine,Asia,3168.216,5305270,9000000.0,3640.31198,,95.6,0.0,,7.10900497436523
PCN,Pitcairn,Pacific,,,,,,,,,
PLW,Palaos,Pacific,12343.08,17759,,12498.469842,,,,,89.5734634399414
PNG,Papouasie-Nouvelle-Guinée,Pacific,14481.94,10203169,27503590.0,3116.504891,0.601889338731444,,0.0,2.4,27.014217376709
PRI,Porto Rico,America,6969.978,3240968,,34877.184805,,,0.0,,61.1374397277832
PRK,Corée du Nord,Asia,8916.056,26328845,0.0,582.143252,,,0.0,,30.3317527770996
PYF,Polynésie française,Pacific,15918.0,280378,16364250.0,18984.851059,6.290972222222222,,340630.0,,
REU,Réunion,Africa,9189.04,871540,0.0,,,,0.0,,48.3412322998047
SAU,Arabie saoudite,Asia,4378.833,32175352,477080710.0,30436.278303,5.267704517704518,,60196710.0,3.6,39.8104248046875
SEN,Sénégal,Africa,4023.336,17651103,12390.0,1604.018417,1.1104033970276008,50.5,9410.0,,41.2322273254395
SGP,Singapour,Asia,10731.82,5649885,157346050.0,78114.621547,,,53130.0,4.6,97.1563949584961
SHN,Sainte-Hélène,Africa,7040.134,5343,,,,,,,
SLB,Îles Salomon,Pacific,15306.78,781066,4137290.0,2205.314004,1.6409366869037296,,0.0,2.6,60.6635055541992
SLE,Sierra Leone,Africa,4503.996,8276807,25584090.0,404.541802,0.9171342252913249,37.5,0.0,,37.4407577514648
SLV,Salvador,America,9067.626,6280319,11368920.0,5127.32093,3.752820874471086,,0.0,2.2,46.445499420166
SMR,Saint-Marin,Europe,772.7416,34090,,52903.083353,,,,,93.3649291992188
SOM,Somalie,Africa,6236.152,17801897,9266070.0,592.129194,0.16803055100927441,,0.0,1.9,2.84360194206238
SPM,Saint-Pierre-et-Miquelon,America,4393.722,5732,,,,,,,
STP,Sao Tomé-et-Principe,Africa,5157.867,226305,2299490.0,2404.615356,2.338662179217501,48.7,75200.0,,60.1895751953125
SUR,Suriname,America,7159.696,623164,14387200.0,5858.824718,6.537330316742081,74.5,35630.0,,59.7156410217285
SWZ,Swaziland,Africa,8618.222,1218917,2016310.0,3600.636491,0.927536231884058,35.0,0.0,,30.8056869506836
SYC,Seychelles,Africa,7678.246,125522,3059470.0,18622.865471,4.928305400372439,54.7,38230.0,,73.9336471557617
SYR,Syrie,Asia,3111.831,22462173,11334510.0,840.478438,0.8399664851277755,,0.0,2.2,0.0
TCA,Îles Turks et Caïques,America,7108.174,45847,,24917.595803,,,,,
TCD,Tchad,Africa,4116.21,18455316,2535960.0,947.85465,0.08241758241758242,39.2,62330.0,,9.00473976135254
TKL,Tokelaou,Pacific,15819.74,2290,,,,,0.0,,
TKM,Turkménistan,Asia,4568.251,7230193,45909560.0,10420.133183,1.48994708994709,,0.0,,43.1279602050781
TLS,Timor Oriental,Asia,13172.92,1369295,6155380.0,2389.295888,0.9092111062141913,,0.0,,54.502368927002
TON,Tonga,Pacific,17132.55,105042,9234310.0,4570.625876,11.539109912339852,,0.0,,90.0473937988281
TUN,Tunisie,Africa,1270.422,12119334,462550.0,3737.517895,1.9925115207373274,92.7,0.0,,22.274881362915
TUV,Tuvalu,Pacific,15679.0,9992,405300.0,5219.259409,5.399730820995962,,0.0,,94.3127975463867
TWN,Taïwan,Asia,9976.811,23420111,217336410.0,,5.41393304024349,,0.0,3.8,74.407585144043
TZA,Tanzanie,Africa,6736.65,64711821,9452630.0,1158.765168,0.2506361323155216,24.5,0.0,,44.0758285522461
UGA,Ouganda,Africa,5851.305,47312719,-1666630.0,1021.035159,0.25392428439519854,27.5,0.0,,19.4312801361084
UKR,Ukraine,Europe,2226.3,41048766,-342371050.0,4042.713072,3.052613118204139,,56160.0,2.4,10.9004735946655
VCT,Saint-Vincent-et-les Grenadines,America,6994.284,102046,8867400.0,9107.447613,11.870064124198448,,0.0,,86.2559204101562
VEN,Venezuela,America,7736.347,28213017,7689790.0,4569.110543,2.6104400345125107,,0.0,2.4,12.3222751617432
VGB,Îles Vierges britanniques,America,6835.072,38319,,46996.749944,,,,,
VUT,Vanuatu,Pacific,16440.02,313046,4543270.0,3015.409191,2.2078248384781047,,0.0,,81.0426559448242
WLF,Îles Wallis et Futuna,Pacific,16302.52,11478,,,,,,,
WSM,Samoa,Pacific,16332.27,215261,16291100.0,3854.888088,9.111002285341169,,0.0,,90.5213241577148
YEM,Yémen,Asia,5235.171,38222876,103036430.0,326.651586,1.642342774843975,,5199080.0,1.9,0.947867274284363
ZMB,Zambie,Africa,7221.197,20152938,45874030.0,1455.546876,0.8609823911028729,18.299999999999997,0.0,,52.1327018737793
ZWE,Zimbabwe,Africa,7759.68,16069056,5124700.0,1618.73307,1.3282704556589906,,0.0,2.4,15.1658763885498
