Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","ARM","Arménie","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","2870.349","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","ARM","Arménie","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","2880.874","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","ARM","Arménie","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","2943.393","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","ABW","Aruba","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","107.558","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","ABW","Aruba","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","107.782","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","ABW","Aruba","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","107.939","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AUS","Australie","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","25956.418","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AUS","Australie","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","26200.984","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AUS","Australie","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","26451.124","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AUT","Autriche","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","8967.057","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AUT","Autriche","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","9064.677","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AUT","Autriche","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","9130.429","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AZE","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","10234.371","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AZE","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","10295.304","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AZE","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","10318.207","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BHS","Bahamas","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","396.373","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BHS","Bahamas","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","397.538","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BHS","Bahamas","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","399.44","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BHR","Bahreïn","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","1501.764","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BHR","Bahreïn","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","1533.459","X","Ciffre de sources internationales",""
