Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"TCL","Cultures et produits animaux","SAU","Arabie saoudite","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","513726.19","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","SAU","Arabie saoudite","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","1433509","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","SAU","Arabie saoudite","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","36645.48","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","SAU","Arabie saoudite","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","95610","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","ARG","Argentine","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","10218.32","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","ARG","Argentine","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","21216","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","ARG","Argentine","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","179621.83","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","ARG","Argentine","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","298838","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","ARM","Arménie","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","37595.23","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","ARM","Arménie","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","56770","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","ARM","Arménie","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","192.8","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","ARM","Arménie","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","228","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","AUS","Australie","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","83.08","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","AUS","Australie","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","279","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","AUS","Australie","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","50152.78","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","AUS","Australie","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","74841","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","AUT","Autriche","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","57009.49","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","AUT","Autriche","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","221470","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","AUT","Autriche","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","51936.18","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","AUT","Autriche","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","222011","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","AZE","Azerbaïdjan","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","32384.83","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","AZE","Azerbaïdjan","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","51469","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","AZE","Azerbaïdjan","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","1475.8","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","AZE","Azerbaïdjan","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","1559","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BHS","Bahamas","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","17570.61","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BHS","Bahamas","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","49982","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BHS","Bahamas","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","","",""
"TCL","Cultures et produits animaux","BHS","Bahamas","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","","",""
"TCL","Cultures et produits animaux","BHR","Bahreïn","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","56135.26","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BHR","Bahreïn","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","140265","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BHR","Bahreïn","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","603.18","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BHR","Bahreïn","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","2251","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BGD","Bangladesh","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","8.12","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","BGD","Bangladesh","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","26","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","BGD","Bangladesh","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","0.7","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","BGD","Bangladesh","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","4","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","BRB","Barbade","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","956.7","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BRB","Barbade","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","3487","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BRB","Barbade","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","2.39","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BRB","Barbade","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","12","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BLR","Bélarus","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","16337.76","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","BLR","Bélarus","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","25417","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","BLR","Bélarus","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","183145.42","E","Valeur estimée",""
"TCL","Cultures et produits animaux","BLR","Bélarus","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","383565","E","Valeur estimée",""
"TCL","Cultures et produits animaux","BEL","Belgique","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","207627.42","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BEL","Belgique","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","447737","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BEL","Belgique","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","417164.88","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BEL","Belgique","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","1037399","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","F15","Belgique-Luxembourg","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","","",""
"TCL","Cultures et produits animaux","F15","Belgique-Luxembourg","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","","",""
"TCL","Cultures et produits animaux","F15","Belgique-Luxembourg","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","","",""
"TCL","Cultures et produits animaux","F15","Belgique-Luxembourg","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","","",""
"TCL","Cultures et produits animaux","BLZ","Belize","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","0.85","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BLZ","Belize","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","3","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BLZ","Belize","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","","",""
"TCL","Cultures et produits animaux","BLZ","Belize","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","","",""
"TCL","Cultures et produits animaux","BEN","Bénin","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","85544.28","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BEN","Bénin","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","70563","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BEN","Bénin","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","6.24","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BEN","Bénin","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","27","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BTN","Bhoutan","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","2819.52","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
