"","","","2022 [2022]","2022 [2022]","2022 [2022]","2022 [2022]"
"","","","Unité","Valeur","Description du Symbole","Note"
"Bermudes [BMU]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","3.561714","Ciffre de sources internationales",""
"Bermudes [BMU]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","117568.241306","Ciffre de sources internationales",""
"Bhoutan [BTN]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","4.048839","Ciffre de sources internationales",""
"Bhoutan [BTN]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","3704.344581","Ciffre de sources internationales",""
"Bolivie (État plurinational de) [BOL]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","7.626214","Ciffre de sources internationales",""
"Bolivie (État plurinational de) [BOL]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","3600.121635","Ciffre de sources internationales",""
"Bosnie-Herzégovine [BIH]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","4.580802","Ciffre de sources internationales",""
"Bosnie-Herzégovine [BIH]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","7568.79898","Ciffre de sources internationales",""
"Botswana [BWA]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","6.891457","Ciffre de sources internationales",""
"Botswana [BWA]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","7737.65468","Ciffre de sources internationales",""
"Brunéi Darussalam [BRN]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","18.135928","Ciffre de sources internationales",""
"Brunéi Darussalam [BRN]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","37152.466238","Ciffre de sources internationales",""
"Brésil [BRA]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","15.862315","Ciffre de sources internationales",""
"Brésil [BRA]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","8917.673509","Ciffre de sources internationales",""
"Bulgarie [BGR]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","8.993132","Ciffre de sources internationales",""
"Bulgarie [BGR]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","13301.92371","Ciffre de sources internationales",""
"Burkina Faso [BFA]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-6.491546","Ciffre de sources internationales",""
"Burkina Faso [BFA]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","845.760531","Ciffre de sources internationales",""
"Burundi [BDI]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","4.931418","Ciffre de sources internationales",""
"Burundi [BDI]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","312.874378","Ciffre de sources internationales",""
"Bélarus [BLR]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","5.066976","Ciffre de sources internationales",""
