"","","","","2022 [2022]","2022 [2022]","2022 [2022]"
"","","","","Unité","Valeur","Description du Symbole"
"France [FRA]","Libye [LBY]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","653","Chiffre officiel"
"France [FRA]","Libéria [LBR]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","133","Chiffre officiel"
"France [FRA]","Libéria [LBR]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","132","Chiffre officiel"
"France [FRA]","Lituanie [LTU]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","77.22","Chiffre officiel"
"France [FRA]","Lituanie [LTU]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","83","Chiffre officiel"
"France [FRA]","Luxembourg [LUX]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","1630.1","Chiffre officiel"
"France [FRA]","Luxembourg [LUX]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","10547","Chiffre officiel"
"France [FRA]","Macédoine du Nord [MKD]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","34.8","Chiffre officiel"
"France [FRA]","Macédoine du Nord [MKD]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","69","Chiffre officiel"
"France [FRA]","Madagascar [MDG]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","0.22","Chiffre officiel"
"France [FRA]","Madagascar [MDG]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","2","Chiffre officiel"
"France [FRA]","Malaisie [MYS]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","25","Chiffre officiel"
"France [FRA]","Malaisie [MYS]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","47","Chiffre officiel"
"France [FRA]","Malawi [MWI]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Malawi [MWI]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Maldives [MDV]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","6.13","Chiffre officiel"
"France [FRA]","Maldives [MDV]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","33","Chiffre officiel"
"France [FRA]","Mali [MLI]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","26.86","Chiffre officiel"
"France [FRA]","Mali [MLI]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","228","Chiffre officiel"
"France [FRA]","Malte [MLT]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","3.56","Chiffre officiel"
"France [FRA]","Malte [MLT]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","25","Chiffre officiel"
"France [FRA]","Maroc [MAR]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","0.05","Chiffre officiel"
"France [FRA]","Maroc [MAR]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","0","Chiffre officiel"
"France [FRA]","Martinique [MTQ]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Martinique [MTQ]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Maurice [MUS]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","26.02","Chiffre officiel"
"France [FRA]","Maurice [MUS]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","55","Chiffre officiel"
"France [FRA]","Mauritanie [MRT]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","54.64","Chiffre officiel"
"France [FRA]","Mauritanie [MRT]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","180","Chiffre officiel"
"France [FRA]","Mexique [MEX]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Mexique [MEX]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Micronésie (États fédérés de) [FSM]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Micronésie (États fédérés de) [FSM]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Monaco [MCO]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Monaco [MCO]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Mongolie [MNG]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Mongolie [MNG]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Monténégro [MNE]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Monténégro [MNE]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Mozambique [MOZ]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","28","Chiffre officiel"
"France [FRA]","Mozambique [MOZ]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","23","Chiffre officiel"
"France [FRA]","Myanmar [MMR]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Myanmar [MMR]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Namibie [NAM]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Namibie [NAM]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Nauru [NRU]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Nauru [NRU]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Nicaragua [NIC]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Nicaragua [NIC]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Niger [NER]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","643.39","Chiffre officiel"
"France [FRA]","Niger [NER]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","862","Chiffre officiel"
"France [FRA]","Nigéria [NGA]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","1.08","Chiffre officiel"
"France [FRA]","Nigéria [NGA]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","15","Chiffre officiel"
"France [FRA]","Nioué [NIU]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Nioué [NIU]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Norvège [NOR]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Norvège [NOR]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Nouvelle-Calédonie [NCL]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","1151.47","Chiffre officiel"
"France [FRA]","Nouvelle-Calédonie [NCL]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","3977","Chiffre officiel"
"France [FRA]","Nouvelle-Zélande [NZL]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Nouvelle-Zélande [NZL]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Népal [NPL]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Népal [NPL]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Oman [OMN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","46.77","Chiffre officiel"
"France [FRA]","Oman [OMN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","97","Chiffre officiel"
"France [FRA]","Ouganda [UGA]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Ouganda [UGA]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Ouzbékistan [UZB]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Ouzbékistan [UZB]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Pakistan [PAK]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Pakistan [PAK]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Palestine [PSE]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Palestine [PSE]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Panama [PAN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Panama [PAN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Papouasie-Nouvelle-Guinée [PNG]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Papouasie-Nouvelle-Guinée [PNG]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Paraguay [PRY]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Paraguay [PRY]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Pays-Bas (Royaume des) [NLD]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","36087.56","Chiffre officiel"
"France [FRA]","Pays-Bas (Royaume des) [NLD]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","40047","Chiffre officiel"
"France [FRA]","Philippines [PHL]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","14.39","Chiffre officiel"
"France [FRA]","Philippines [PHL]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","114","Chiffre officiel"
"France [FRA]","Pologne [POL]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","802.25","Chiffre officiel"
"France [FRA]","Pologne [POL]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","2533","Chiffre officiel"
"France [FRA]","Polynésie française [PYF]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","340.63","Chiffre officiel"
"France [FRA]","Polynésie française [PYF]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","1546","Chiffre officiel"
"France [FRA]","Porto Rico [PRI]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Porto Rico [PRI]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Portugal [PRT]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","5162.59","Chiffre officiel"
"France [FRA]","Portugal [PRT]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","7235","Chiffre officiel"
"France [FRA]","Pérou [PER]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Pérou [PER]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Qatar [QAT]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","194.5","Chiffre officiel"
"France [FRA]","Qatar [QAT]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","986","Chiffre officiel"
"France [FRA]","RFS de Yougoslavie [F248]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","RFS de Yougoslavie [F248]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Roumanie [ROU]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","2877.49","Chiffre officiel"
"France [FRA]","Roumanie [ROU]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","5181","Chiffre officiel"
"France [FRA]","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord [GBR]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","8240.97","Chiffre officiel"
"France [FRA]","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord [GBR]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","35717","Chiffre officiel"
"France [FRA]","Rwanda [RWA]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Rwanda [RWA]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","République arabe syrienne [SYR]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","République arabe syrienne [SYR]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","République centrafricaine [CAF]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","102.95","Chiffre officiel"
"France [FRA]","République centrafricaine [CAF]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","87","Chiffre officiel"
"France [FRA]","République de Corée [KOR]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","République de Corée [KOR]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","République de Moldova [MDA]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","266.5","Chiffre officiel"
"France [FRA]","République de Moldova [MDA]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","158","Chiffre officiel"
"France [FRA]","République dominicaine [DOM]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","0.24","Chiffre officiel"
"France [FRA]","République dominicaine [DOM]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","2","Chiffre officiel"
"France [FRA]","République démocratique du Congo [COD]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","3121.64","Chiffre officiel"
"France [FRA]","République démocratique du Congo [COD]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","4083","Chiffre officiel"
"France [FRA]","République démocratique populaire lao [LAO]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","République démocratique populaire lao [LAO]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","République populaire démocratique de Corée [PRK]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","République populaire démocratique de Corée [PRK]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","République-Unie de Tanzanie [TZA]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","République-Unie de Tanzanie [TZA]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Réunion [REU]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Réunion [REU]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Saint-Kitts-et-Nevis [KNA]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Saint-Kitts-et-Nevis [KNA]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Saint-Vincent-et-les Grenadines [VCT]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Saint-Vincent-et-les Grenadines [VCT]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Sainte-Lucie [LCA]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","0.11","Chiffre officiel"
"France [FRA]","Sainte-Lucie [LCA]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","4","Chiffre officiel"
"France [FRA]","Samoa [WSM]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Samoa [WSM]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Sao Tomé-et-Principe [STP]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","75.2","Chiffre officiel"
"France [FRA]","Sao Tomé-et-Principe [STP]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","96","Chiffre officiel"
"France [FRA]","Serbie [SRB]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","748.74","Chiffre officiel"
"France [FRA]","Serbie [SRB]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","637","Chiffre officiel"
"France [FRA]","Serbie-et-Monténégro [SCG]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Serbie-et-Monténégro [SCG]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Seychelles [SYC]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","38.23","Chiffre officiel"
"France [FRA]","Seychelles [SYC]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","79","Chiffre officiel"
"France [FRA]","Sierra Leone [SLE]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Sierra Leone [SLE]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Singapour [SGP]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","53.13","Chiffre officiel"
"France [FRA]","Singapour [SGP]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","387","Chiffre officiel"
"France [FRA]","Slovaquie [SVK]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","566.22","Chiffre officiel"
"France [FRA]","Slovaquie [SVK]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","1911","Chiffre officiel"
"France [FRA]","Slovénie [SVN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","169.11","Chiffre officiel"
"France [FRA]","Slovénie [SVN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","117","Chiffre officiel"
"France [FRA]","Somalie [SOM]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Somalie [SOM]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Soudan (ex) [F206]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Soudan (ex) [F206]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Soudan [SDN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Soudan [SDN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Soudan du Sud [SSD]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Soudan du Sud [SSD]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Sri Lanka [LKA]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Sri Lanka [LKA]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Suisse [CHE]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","3410","Chiffre officiel"
"France [FRA]","Suisse [CHE]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","27392","Chiffre officiel"
"France [FRA]","Suriname [SUR]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","35.63","Chiffre officiel"
"France [FRA]","Suriname [SUR]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","65","Chiffre officiel"
"France [FRA]","Suède [SWE]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","338.33","Chiffre officiel"
"France [FRA]","Suède [SWE]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","1680","Chiffre officiel"
"France [FRA]","Sénégal [SEN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","9.41","Chiffre officiel"
"France [FRA]","Sénégal [SEN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","82","Chiffre officiel"
"France [FRA]","Tadjikistan [TJK]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Tadjikistan [TJK]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Tchad [TCD]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","62.33","Chiffre officiel"
"France [FRA]","Tchad [TCD]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","125","Chiffre officiel"
"France [FRA]","Tchécoslovaq [F51]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Tchécoslovaq [F51]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Tchéquie [CZE]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","787.59","Chiffre officiel"
"France [FRA]","Tchéquie [CZE]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","2743","Chiffre officiel"
"France [FRA]","Thaïlande [THA]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","8.96","Chiffre officiel"
"France [FRA]","Thaïlande [THA]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","126","Chiffre officiel"
"France [FRA]","Timor-Leste [TLS]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Timor-Leste [TLS]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Togo [TGO]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","1612.91","Chiffre officiel"
"France [FRA]","Togo [TGO]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","2063","Chiffre officiel"
"France [FRA]","Tokélaou [TKL]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Tokélaou [TKL]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Tonga [TON]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Tonga [TON]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Trinité-et-Tobago [TTO]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Trinité-et-Tobago [TTO]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Tunisie [TUN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Tunisie [TUN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Turkménistan [TKM]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Turkménistan [TKM]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Tuvalu [TUV]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Tuvalu [TUV]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Türkiye [TUR]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Türkiye [TUR]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","URSS [F228]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","URSS [F228]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Ukraine [UKR]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","56.16","Chiffre officiel"
"France [FRA]","Ukraine [UKR]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","157","Chiffre officiel"
"France [FRA]","Uruguay [URY]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Uruguay [URY]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Vanuatu [VUT]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Vanuatu [VUT]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Venezuela (République bolivarienne du) [VEN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
