"","","","2022 [2022]","2022 [2022]","2022 [2022]","2022 [2022]"
"","","","Unité","Valeur","Description du Symbole","Note"
"Bolivie (État plurinational de) [BOL]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","160.42","Valeur estimée",""
"Bosnie-Herzégovine [BIH]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3368","Valeur estimée",""
"Bosnie-Herzégovine [BIH]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","82.13","Valeur estimée",""
"Botswana [BWA]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2622","Valeur estimée",""
"Botswana [BWA]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","9.75","Valeur estimée",""
"Brésil [BRA]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3305","Valeur estimée",""
"Brésil [BRA]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","177.76","Valeur estimée",""
"Bulgarie [BGR]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3055","Valeur estimée",""
"Bulgarie [BGR]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","80.24","Valeur estimée",""
"Burkina Faso [BFA]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2675","Valeur estimée",""
"Burkina Faso [BFA]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","25.15","Valeur estimée",""
"Burundi [BDI]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","1755","Valeur estimée",""
"Burundi [BDI]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","2.48","Valeur estimée",""
"Bélarus [BLR]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3330","Valeur estimée",""
"Bélarus [BLR]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","133.01","Valeur estimée",""
"Bénin [BEN]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2786","Valeur estimée",""
"Bénin [BEN]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","38.26","Valeur estimée",""
"Cabo Verde [CPV]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2642","Valeur estimée",""
"Cabo Verde [CPV]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","89.02","Valeur estimée",""
"Cambodge [KHM]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2724","Valeur estimée",""
"Cambodge [KHM]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","7.43","Valeur estimée",""
"Cameroun [CMR]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2840","Valeur estimée",""
"Cameroun [CMR]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","16.8","Valeur estimée",""
"Canada [CAN]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3606","Valeur estimée",""
"Canada [CAN]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","153.72","Valeur estimée",""
"Chili [CHL]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3106","Valeur estimée",""
"Chili [CHL]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","144.18","Valeur estimée",""
"Chine - RAS de Hong-Kong [HKG]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2996","Valeur estimée",""
"Chine - RAS de Hong-Kong [HKG]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","185.97","Valeur estimée",""
"Chine - RAS de Macao [MAC]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2937","Valeur estimée",""
"Chine - RAS de Macao [MAC]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","196.81","Valeur estimée",""
"Chine [F351]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3441","Valeur estimée",""
"Chine [F351]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","80.83","Valeur estimée",""
"Chine, Taiwan Province de [TWN]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2957","Valeur estimée",""
"Chine, Taiwan Province de [TWN]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","160.09","Valeur estimée",""
"Chine, continentale [CHN]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3452","Valeur estimée",""
"Chine, continentale [CHN]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","78.89","Valeur estimée",""
"Chypre [CYP]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3037","Valeur estimée",""
"Chypre [CYP]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","112.02","Valeur estimée",""
"Colombie [COL]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3112","Valeur estimée",""
"Colombie [COL]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","138.46","Valeur estimée",""
"Comores [COM]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2416","Valeur estimée",""
"Comores [COM]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","87.26","Valeur estimée",""
"Congo [COG]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2191","Valeur estimée",""
"Congo [COG]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","103.74","Valeur estimée",""
"Costa Rica [CRI]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2942","Valeur estimée",""
"Costa Rica [CRI]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","121.71","Valeur estimée",""
"Croatie [HRV]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3317","Valeur estimée",""
"Croatie [HRV]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","71.98","Valeur estimée",""
"Cuba [CUB]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3270","Valeur estimée",""
"Cuba [CUB]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","112.59","Valeur estimée",""
"Côte d'Ivoire [CIV]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2953","Valeur estimée",""
