"","","","2022 [2022]","2022 [2022]","2022 [2022]","2022 [2022]"
"","","","Unité","Valeur","Description du Symbole","Note"
"Argentine [ARG]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","10218.32","Chiffre officiel [A]",""
"Argentine [ARG]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","21216","Chiffre officiel [A]",""
"Arménie [ARM]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","192.8","Chiffre officiel [A]",""
"Arménie [ARM]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","228","Chiffre officiel [A]",""
"Arménie [ARM]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","37595.23","Chiffre officiel [A]",""
"Arménie [ARM]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","56770","Chiffre officiel [A]",""
"Australie [AUS]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","50152.78","Chiffre officiel [A]",""
"Australie [AUS]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","74841","Chiffre officiel [A]",""
"Australie [AUS]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","83.08","Chiffre officiel [A]",""
"Australie [AUS]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","279","Chiffre officiel [A]",""
"Autriche [AUT]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","51936.18","Chiffre officiel [A]",""
"Autriche [AUT]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","222011","Chiffre officiel [A]",""
"Autriche [AUT]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","57009.49","Chiffre officiel [A]",""
"Autriche [AUT]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","221470","Chiffre officiel [A]",""
"Azerbaïdjan [AZE]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","1475.8","Chiffre officiel [A]",""
"Azerbaïdjan [AZE]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","1559","Chiffre officiel [A]",""
"Azerbaïdjan [AZE]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","32384.83","Chiffre officiel [A]",""
"Azerbaïdjan [AZE]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","51469","Chiffre officiel [A]",""
"Bahamas [BHS]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Bahamas [BHS]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Bahamas [BHS]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","17570.61","Chiffre officiel [A]",""
"Bahamas [BHS]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","49982","Chiffre officiel [A]",""
"Bahreïn [BHR]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","603.18","Chiffre officiel [A]",""
"Bahreïn [BHR]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","2251","Chiffre officiel [A]",""
"Bahreïn [BHR]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","56135.26","Chiffre officiel [A]",""
"Bahreïn [BHR]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","140265","Chiffre officiel [A]",""
"Bangladesh [BGD]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","0.7","Ciffre de sources internationales [X]","Données estimées en utilisant les données des pays partenaires"
"Bangladesh [BGD]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","4","Ciffre de sources internationales [X]","Données estimées en utilisant les données des pays partenaires"
"Bangladesh [BGD]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","8.12","Ciffre de sources internationales [X]","Données estimées en utilisant les données des pays partenaires"
"Bangladesh [BGD]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","26","Ciffre de sources internationales [X]","Données estimées en utilisant les données des pays partenaires"
"Barbade [BRB]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","2.39","Chiffre officiel [A]",""
"Barbade [BRB]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","12","Chiffre officiel [A]",""
"Barbade [BRB]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","956.7","Chiffre officiel [A]",""
"Barbade [BRB]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","3487","Chiffre officiel [A]",""
"Belgique [BEL]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","417164.88","Chiffre officiel [A]",""
"Belgique [BEL]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","1037399","Chiffre officiel [A]",""
"Belgique [BEL]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","207627.42","Chiffre officiel [A]",""
"Belgique [BEL]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","447737","Chiffre officiel [A]",""
"Belgique-Luxembourg [F15]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Belgique-Luxembourg [F15]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Belgique-Luxembourg [F15]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Belgique-Luxembourg [F15]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Belize [BLZ]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Belize [BLZ]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Belize [BLZ]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","0.85","Chiffre officiel [A]",""
"Belize [BLZ]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","3","Chiffre officiel [A]",""
"Bhoutan [BTN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","87.13","Ciffre de sources internationales [X]","Données estimées en utilisant les données des pays partenaires"
"Bhoutan [BTN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","59","Ciffre de sources internationales [X]","Données estimées en utilisant les données des pays partenaires"
"Bhoutan [BTN]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","2819.52","Ciffre de sources internationales [X]","Données estimées en utilisant les données des pays partenaires"
"Bhoutan [BTN]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","6952","Ciffre de sources internationales [X]","Données estimées en utilisant les données des pays partenaires"
"Bolivie (État plurinational de) [BOL]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","216","Chiffre officiel [A]",""
"Bolivie (État plurinational de) [BOL]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","319","Chiffre officiel [A]",""
"Bolivie (État plurinational de) [BOL]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","3210.62","Valeur imputée [I]",""
"Bolivie (État plurinational de) [BOL]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","2897","Chiffre officiel [A]",""
"Bosnie-Herzégovine [BIH]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","7812.82","Chiffre officiel [A]",""
"Bosnie-Herzégovine [BIH]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","18636","Chiffre officiel [A]",""
"Bosnie-Herzégovine [BIH]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","11401.14","Chiffre officiel [A]",""
"Bosnie-Herzégovine [BIH]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","15565","Chiffre officiel [A]",""
"Botswana [BWA]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","3.67","Chiffre officiel [A]",""
"Botswana [BWA]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","12","Chiffre officiel [A]",""
"Botswana [BWA]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","4850.97","Chiffre officiel [A]",""
"Botswana [BWA]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","4188","Chiffre officiel [A]",""
"Brunéi Darussalam [BRN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Brunéi Darussalam [BRN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Brunéi Darussalam [BRN]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Brunéi Darussalam [BRN]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Brésil [BRA]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","4364053.23","Chiffre officiel [A]",""
"Brésil [BRA]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","8686206","Chiffre officiel [A]",""
"Brésil [BRA]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","4821.33","Chiffre officiel [A]",""
"Brésil [BRA]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","13824","Chiffre officiel [A]",""
"Bulgarie [BGR]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","22499.69","Chiffre officiel [A]",""
"Bulgarie [BGR]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","62069","Chiffre officiel [A]",""
"Bulgarie [BGR]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","79739.24","Chiffre officiel [A]",""
"Bulgarie [BGR]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","129852","Chiffre officiel [A]",""
"Burkina Faso [BFA]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
