"","","","2021 [2021]","2021 [2021]","2021 [2021]","2021 [2021]","2022 [2022]","2022 [2022]","2022 [2022]","2022 [2022]","2023 [2023]","2023 [2023]","2023 [2023]","2023 [2023]"
"","","","Unité","Valeur","Description du Symbole","Note","Unité","Valeur","Description du Symbole","Note","Unité","Valeur","Description du Symbole","Note"
"Bonaire, Saint-Eustache et Saba [BES]","Population totale [511]","Population-Estimations [3010]","1000 No","27.323","Ciffre de sources internationales [X]","","1000 No","28.627","Ciffre de sources internationales [X]","","1000 No","29.898","Ciffre de sources internationales [X]",""
"Bosnie-Herzégovine [BIH]","Population totale [511]","Population-Estimations [3010]","1000 No","3244.907","Ciffre de sources internationales [X]","","1000 No","3204.802","Ciffre de sources internationales [X]","","1000 No","3185.073","Ciffre de sources internationales [X]",""
"Botswana [BWA]","Population totale [511]","Population-Estimations [3010]","1000 No","2401.441","Ciffre de sources internationales [X]","","1000 No","2439.892","Ciffre de sources internationales [X]","","1000 No","2480.244","Ciffre de sources internationales [X]",""
"Brunéi Darussalam [BRN]","Population totale [511]","Population-Estimations [3010]","1000 No","451.721","Ciffre de sources internationales [X]","","1000 No","455.37","Ciffre de sources internationales [X]","","1000 No","458.949","Ciffre de sources internationales [X]",""
"Brésil [BRA]","Population totale [511]","Population-Estimations [3010]","1000 No","209550.294","Ciffre de sources internationales [X]","","1000 No","210306.415","Ciffre de sources internationales [X]","","1000 No","211140.729","Ciffre de sources internationales [X]",""
"Bulgarie [BGR]","Population totale [511]","Population-Estimations [3010]","1000 No","6877.225","Ciffre de sources internationales [X]","","1000 No","6825.864","Ciffre de sources internationales [X]","","1000 No","6795.803","Ciffre de sources internationales [X]",""
"Burkina Faso [BFA]","Population totale [511]","Population-Estimations [3010]","1000 No","21995.243","Ciffre de sources internationales [X]","","1000 No","22509.038","Ciffre de sources internationales [X]","","1000 No","23025.776","Ciffre de sources internationales [X]",""
"Burundi [BDI]","Population totale [511]","Population-Estimations [3010]","1000 No","12965.481","Ciffre de sources internationales [X]","","1000 No","13321.097","Ciffre de sources internationales [X]","","1000 No","13689.45","Ciffre de sources internationales [X]",""
"Bélarus [BLR]","Population totale [511]","Population-Estimations [3010]","1000 No","9251.365","Ciffre de sources internationales [X]","","1000 No","9173.237","Ciffre de sources internationales [X]","","1000 No","9115.68","Ciffre de sources internationales [X]",""
"Bénin [BEN]","Population totale [511]","Population-Estimations [3010]","1000 No","13413.417","Ciffre de sources internationales [X]","","1000 No","13759.501","Ciffre de sources internationales [X]","","1000 No","14111.034","Ciffre de sources internationales [X]",""
"Cabo Verde [CPV]","Population totale [511]","Population-Estimations [3010]","1000 No","516.649","Ciffre de sources internationales [X]","","1000 No","519.741","Ciffre de sources internationales [X]","","1000 No","522.331","Ciffre de sources internationales [X]",""
"Cambodge [KHM]","Population totale [511]","Population-Estimations [3010]","1000 No","16974.305","Ciffre de sources internationales [X]","","1000 No","17201.724","Ciffre de sources internationales [X]","","1000 No","17423.88","Ciffre de sources internationales [X]",""
