Code Domaine,Domaine,Code pays déclarant (ISO3),Pays déclarants,Code pays partenaire (ISO3),Pays partenaires,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TM","Matrices du commerce détaillées","FRA","France","BGD","Bangladesh","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","BGD","Bangladesh","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","BRB","Barbade","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","BRB","Barbade","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","BLR","Bélarus","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","BLR","Bélarus","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","BEL","Belgique","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","29989.53","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BEL","Belgique","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","72685","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","F15","Belgique-Luxembourg","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","F15","Belgique-Luxembourg","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","BLZ","Belize","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","BLZ","Belize","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","BEN","Bénin","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","2425.84","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BEN","Bénin","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","3170","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BTN","Bhoutan","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","BTN","Bhoutan","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","BOL","Bolivie (État plurinational de)","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","BOL","Bolivie (État plurinational de)","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","BIH","Bosnie-Herzégovine","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","BIH","Bosnie-Herzégovine","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","BWA","Botswana","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","BWA","Botswana","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","BRA","Brésil","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","BRA","Brésil","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","BRN","Brunéi Darussalam","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","BRN","Brunéi Darussalam","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","BGR","Bulgarie","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","383.79","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BGR","Bulgarie","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","600","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BFA","Burkina Faso","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","5.54","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BFA","Burkina Faso","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","22","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BDI","Burundi","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","BDI","Burundi","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","CPV","Cabo Verde","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","51.39","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CPV","Cabo Verde","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","90","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","KHM","Cambodge","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","0.07","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","KHM","Cambodge","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","3","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CMR","Cameroun","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","165.33","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CMR","Cameroun","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","396","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CAN","Canada","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","26.52","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CAN","Canada","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","19","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CHL","Chili","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","CHL","Chili","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","HKG","Chine - RAS de Hong-Kong","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","1021.55","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","HKG","Chine - RAS de Hong-Kong","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","3629","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","MAC","Chine - RAS de Macao","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","0.16","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","MAC","Chine - RAS de Macao","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","2","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CHN","Chine, continentale","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","25.18","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CHN","Chine, continentale","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","52","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","TWN","Chine, Taiwan Province de","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","TWN","Chine, Taiwan Province de","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","CYP","Chypre","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","23.53","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CYP","Chypre","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","169","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","COL","Colombie","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","COL","Colombie","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","COM","Comores","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","941.46","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","COM","Comores","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","1406","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","COG","Congo","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","2974.74","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","COG","Congo","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","4204","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CRI","Costa Rica","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","CRI","Costa Rica","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","CIV","Côte d'Ivoire","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","70.09","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CIV","Côte d'Ivoire","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","187","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","HRV","Croatie","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","99.99","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","HRV","Croatie","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","101","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CUB","Cuba","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","CUB","Cuba","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","DNK","Danemark","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","2185.99","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","DNK","Danemark","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","9304","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","DJI","Djibouti","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","35.58","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","DJI","Djibouti","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","142","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","DMA","Dominique","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","DMA","Dominique","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","EGY","Égypte","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","EGY","Égypte","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","SLV","El Salvador","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
